	subject	task	num_epochs	num_epochs_after_rejection	num_rejected_channels
0	sub-P01	JustFaces	999	999	999
1	sub-P02	JustFaces	999	999	999
2	sub-P03	JustFaces	999	999	999
3	sub-P04	JustFaces	999	999	999
4	sub-P05	JustFaces	999	999	999
5	sub-P06	JustFaces	999	999	999
6	sub-P07	JustFaces	999	999	999
7	sub-P08	JustFaces	999	999	999
8	sub-P09	JustFaces	999	999	999
9	sub-P10	JustFaces	999	999	999
10	sub-P11	JustFaces	999	999	999
11	sub-P12	JustFaces	999	999	999
12	sub-P13	JustFaces	999	999	999
13	sub-P14	JustFaces	999	999	999
14	sub-P15	JustFaces	999	999	999
15	sub-P16	JustFaces	999	999	999
16	sub-P17	JustFaces	999	999	999
17	sub-P18	JustFaces	999	999	999
18	sub-P19	JustFaces	999	999	999
19	sub-P20	JustFaces	999	999	999
20	sub-P21	JustFaces	999	999	999
21	sub-P22	JustFaces	999	999	999
22	sub-P23	JustFaces	999	999	999
23	sub-P24	JustFaces	999	999	999
24	sub-P25	JustFaces	999	999	999
25	sub-P26	JustFaces	999	999	999
26	sub-P27	JustFaces	999	999	999
27	sub-P28	JustFaces	999	999	999
28	sub-P29	JustFaces	999	999	999
29	sub-P30	JustFaces	999	999	999
30	sub-P31	JustFaces	999	999	999
31	sub-P32	JustFaces	999	999	999
32	sub-P33	JustFaces	999	999	999
33	sub-P34	JustFaces	999	999	999
34	sub-P35	JustFaces	999	999	999
35	sub-P36	JustFaces	999	999	999
36	sub-P37	JustFaces	999	999	999
37	sub-P38	JustFaces	999	999	999
38	sub-P39	JustFaces	999	999	999
39	sub-P40	JustFaces	999	999	999
40	sub-P41	JustFaces	999	999	999
41	sub-P42	JustFaces	999	999	999
42	sub-P43	JustFaces	999	999	999
43	sub-P44	JustFaces	999	999	999
44	sub-P01	StatementsFaces	999	999	999
45	sub-P02	StatementsFaces	999	999	999
46	sub-P03	StatementsFaces	999	999	999
47	sub-P04	StatementsFaces	999	999	999
48	sub-P05	StatementsFaces	999	999	999
49	sub-P06	StatementsFaces	999	999	999
50	sub-P07	StatementsFaces	999	999	999
51	sub-P08	StatementsFaces	999	999	999
52	sub-P09	StatementsFaces	999	999	999
53	sub-P10	StatementsFaces	999	999	999
54	sub-P11	StatementsFaces	999	999	999
55	sub-P12	StatementsFaces	999	999	999
56	sub-P13	StatementsFaces	999	999	999
57	sub-P14	StatementsFaces	999	999	999
58	sub-P15	StatementsFaces	999	999	999
59	sub-P16	StatementsFaces	999	999	999
60	sub-P17	StatementsFaces	999	999	999
61	sub-P18	StatementsFaces	999	999	999
62	sub-P19	StatementsFaces	999	999	999
63	sub-P20	StatementsFaces	999	999	999
64	sub-P21	StatementsFaces	999	999	999
65	sub-P22	StatementsFaces	999	999	999
66	sub-P23	StatementsFaces	999	999	999
67	sub-P24	StatementsFaces	999	999	999
68	sub-P25	StatementsFaces	999	999	999
69	sub-P26	StatementsFaces	999	999	999
70	sub-P27	StatementsFaces	999	999	999
71	sub-P28	StatementsFaces	999	999	999
72	sub-P29	StatementsFaces	999	999	999
73	sub-P30	StatementsFaces	999	999	999
74	sub-P31	StatementsFaces	999	999	999
75	sub-P32	StatementsFaces	999	999	999
76	sub-P33	StatementsFaces	999	999	999
77	sub-P34	StatementsFaces	999	999	999
78	sub-P35	StatementsFaces	999	999	999
79	sub-P36	StatementsFaces	999	999	999
80	sub-P37	StatementsFaces	999	999	999
81	sub-P38	StatementsFaces	999	999	999
82	sub-P39	StatementsFaces	999	999	999
83	sub-P40	StatementsFaces	999	999	999
